106,48387096774194 
109,09677419354838 
105,09677419354838 
106,48387096774194 
106,4074074074074 
105,09677419354838 
106,78125 
104,73333333333333 
108,86666666666666 
104,73333333333333 
104,73333333333333 
104,73333333333333 
104,73333333333333 
108,86666666666666 
104,73333333333333 
106,48387096774194 
105,09677419354838 
105,09677419354838 
104,73333333333333 
106,78125 
104,73333333333333 
106,78125 
104,73333333333333 
104,73333333333333 
106,48387096774194 
104,73333333333333 
107,43333333333334 
104,73333333333333 
108,94117647058823 
104,73333333333333 
